authors,title,description,copies,publisher,pages,isbn10,kind,image,durataprestito,condizioniestensione
Seth Grahame-Smith,The Last American Vampire,"Vampire Henry Sturges returns in the highly anticipated sequel to Abraham Lincoln: Vampire Hunter-a sweeping, alternate history of twentieth-century America by New York Times bestselling author Seth Grahame-Smith. THE LAST AMERICAN VAMPIRE In Reconstruction-era America, vampire Henry Sturges is searching for renewed purpose in the wake of his friend Abraham Lincoln's shocking death. Henry's will be an expansive journey that first sends him to England for an unexpected encounter with Jack the Ripper, then to New York City for the birth of a new American century, the dawn of the electric era of Tesla and Edison, and the blazing disaster of the 1937 Hindenburg crash. Along the way, Henry goes on the road in a Kerouac-influenced trip as Seth Grahame-Smith ingeniously weaves vampire history through Russia's October Revolution, the First and Second World Wars, and the JFK assassination. Expansive in scope and serious in execution, THE LAST AMERICAN VAMPIRE is sure to appeal to the passionate readers who made Abraham Lincoln: Vampire Hunter a runaway success.",5,Grand Central Publishing,320,1455502103,horror,/copertina libri/TheLastAmericanVampire.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Regina Jeffers,Vampire Darcy's Desire,"A twist on the classic Austen tale profiles Darcy as a half-vampire who flees to Netherfield to escape the intense pressure on him to marry and struggles with his love for Elizabeth out of a strong need to protect her from his vampire life, a situation that is complicated by the machinations of a demonic George Wickham. Original. 25,000 first printing.",5,Ulysses Press,446,1569757313,horror,/copertina libri/Vampire Darcy's Desire.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Tananarive Due,The Living Blood,"From the author of the national bestseller My Soul to Keep comes a riveting new novel of supernatural suspense -- a gripping tale that brilliantly showcases a writer at the pinnacle of her astounding storytelling abilities. Jessica Jacobs-Wolde has somehow survived the worst that any mother or wife could ever endure: the deaths of her husband and first daughter. But now, four years later, not only is the nightmare continuing -- it may have only just begun. Jessica has discovered the terrifying truth behind the legacy that her husband left to their second daughter, Fana...a legacy preordained a thousand years before her time and drenched in the powerful lifeblood that now courses through her veins. As young Fana begins to display unearthly abilities that are quickly spiraling out of control, she becomes the target of those who will stop at nothing to exploit her power -- and the unwitting touchstone in an ancient supernatural battle whose outcome may decide the fate of all humanity.",5,Simon and Schuster,528,1439121923,horror,/copertina libri/TheLivingBlood.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Frank De Felitta,Audrey Rose,"When Elliot Hoover loses his wife and daughter, Audrey Rose, in a fiery car crash, his world explodes. To heal his mental anguish and claim some peace, he visits a psychic who reveals to him that his daughter has been reincarnated into Ivy Templeton, a young girl living in New York City. Desperate to reclaim anything from his daughter's past, he searches out Ivy, only to discover that the unbelievable is shockingly true-his daughter is back. Now, in an effort to save her life, Hoover must choose between two horrifying possibilities-leaving his daughter's soul in torment, or taking the life of the young girl in whom she now lives.",5,Grand Central Publishing,480,446556327,horror,/copertina libri/AudreyRose.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Susan Cooper,The Dark Is Rising,"The perfect book for the Christmas season. It is Midwinter's Eve, the night before Will's eleventh birthday. But there is an atmosphere of fear in the familiar countryside around him. Will is about to make a shocking discovery - that he is the last person to be born with the power of the Old Ones, and as a guardian of the Light he must begin a dangerous journey to vanquish the terrifyingly evil magic of the Dark.",5,Random House,400,1409048349,horror,/copertina libri/TheDarkIsRising.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Susan Cooper,The Grey King,"A strange boy and dog remind Will Stanton that he is an immortal, whose quest is to find the golden harp which will rouse others from a long slumber in the Welsh hills so they may prepare for the ultimate battle of Light versus Dark.",5,Simon and Schuster,192,1416949674,horror,/copertina libri/TheGrayKing.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Neil Gaiman,American Gods,"American Gods by Neil Gaiman, the epic road trip novel from the Sunday Times bestselling author of Norse Mythology, is an imaginative masterpiece and now the hottest TV series of 2017 starring Ricky Whittle, IanMcShane and Gillian Anderson and broadcast on Amazon Prime Video in the UK. 'Gaiman is a treasure-house of story and we are lucky to have him' Stephen King. After three years in prison, Shadow has served his time. But as the days and hours until his release tick away, he can feel a storm brewing. Two days before his release date, his wife Laura dies in a mysterious car crash, in adulterous circumstances. Dazed, Shadow travels home, only to encounter the bizarre Mr Wednesday, who claims to be a refugee from a distant war, a former god and the king of America. Together they embark on a very strange journey across the States, along the way solving the murders which have occurred every winter in one small American town. But the storm is about to break . . . Disturbing, gripping and profoundly strange, Gaiman's epic novel sees him on the road to the heart of America.",5,Hachette UK,521,755379926,horror,/copertina libri/americanGods.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Neil Gaiman,Anansi Boys,"In this #1 New York Times bestseller, Neil Gaiman returns to the territory of his masterpiece, American Gods (soon to be a Starz Original Series) to once again probe the dark recesses of the soul. God is dead. Meet the kids. Fat Charlie Nancy’s normal life ended the moment his father dropped dead on a Florida karaoke stage. Charlie didn’t know his dad was a god. And he never knew he had a brother. Now brother Spider is on his doorstep—about to make Fat Charlie’s life more interesting . . . and a lot more dangerous. “Thrilling, spooky, and wondrous.” —Denver Post “Awesomely inventive.… When you take the free-fall plunge into a Neil Gaiman book, anything can happen and anything invariably does.” —Entertainment Weekly “Delightful, funny and affecting.... A tall tale to end all tall tales.” —Washington Post Book World",5,Harper Collins,416,61794975,horror,/copertina libri/anansiBoys.jpg,30,È possibile estendere il prestito per altri 30 giorni.
David Morrell,Creepers,"CREEPERS, David Morrell's gripping joyride of a thriller, depicts every harrowing second in eight hours of relentless terror. A New York Times bestseller, it received the prestigious Stoker Award from the Horror Writers Association. On a cold October night, five people gather in a run-down motel on the New Jersey shore and begin preparations to break in to the Paragon Hotel. Built in the glory days of Asbury Park by a reclusive millionaire, the magnificent structure—which foreshadowed the beauties of art-deco architecture—is now boarded up and marked for demolition. The five people are ""creepers,"" the slang term for urban explorers: city archeologists with a passion for investigating abandoned buildings and their dying secrets. On this evening, they are joined by a reporter who wants to profile them—anonymously, as this is a highly illegal activity—for a New York Times article. Frank Balenger isn't looking for just a story, however. And after the group enters the rat-infested tunnel leading to the hotel, it becomes clear that he will get much more than he bargained for. Danger, terror, and death await the creepers in a place ravaged by time and redolent of evil. The darkest secrets live in places you’re not supposed to be. “Chilling.” —Stephen King, New York Times bestselling author of Doctor Sleep “Crack this novel, and it’s like an alien abduction of your brain—forget resuming your normal life until it’s finished. This will be a classic.”—Douglas Preston, New York Times bestselling co-author (with Lincoln Child) of White Fire “With its nonstop cascade of ingeniously contrived dangers and assaults, culminating in an apocalyptic finale, Creepers provides the essence of all thrillers, an intense emotional effect that will leave readers drained.”—Washington Post",5,David Morrell ,513,6155044216,horror,/copertina libri/Creepers.jpg,30,È possibile estendere il prestito per altri 30 giorni.
David Morrell,The Covenant of the Flame,"Reporter Tess Drake discovers a mysterious altar in the apartment of a friend whose charred body was discovered in a nearby park. The meaning of that altar propels Tess on a furious hunt for the truth about what happened to her friend, a labyrinth of intrigue and danger that leads to the highest levels of power as well as to the depths of a secret cave in Spain. Less From the master of high action comes a novel of deception and intrigue that paved the way for the history-based religious thrillers of Dan Brown, Steve Berry, and James Rollins. In 1244, at the infamous fortress of Montségur in southwestern France, Christian Inquisitors massacred the last vestige of a heresy known as Mithraism, once the dominant religion of the Roman Empire. But was the heresy in fact destroyed? In today’s New York City, reporter Tess Drake discovers a mysterious altar in the apartment of a friend whose charred body was discovered in a nearby park. The altar (a version of it exists in the British Museum) depicts a man astride a bull, plunging a knife into its neck while a dog, a scorpion, and a snake drink the blood. The meaning of that altar propels Tess on a furious hunt for the truth about what happened to her friend, a labyrinth of intrigue and danger that leads to the highest levels of power as well as to the depths of a secret cave in Spain. This special e-version of THE COVENANT OF THE FLAME has a revised text and an introduction in which David Morrell describes the unusual personal events that prompted him to write this novel. “A mega-thriller by any standard” —Associated Press “David Morrell is, to me, the finest thriller writer living today, bar none.” —Steve Berry, New York Times bestselling author of The Jefferson Key “A master storyteller” —James Rollins, New York Times bestselling author of The Devil Colony",5,David Morrell ,412,1937760095,horror,/copertina libri/TheCovenantOfTheFlame.jpg,30,È possibile estendere il prestito per altri 30 giorni.
David Morrell,First Blood,"From New York Times bestselling author, David Morrell, comes a classic thriller that introduced the character of Rambo, one of the most iconic action heroes of the twentieth century. Called “the father of the modern action novel,” FIRST BLOOD changed the genre. Although the book and the film adaptation have similarities, they are very different, especially its unexpected ending and its greater intensity. If you’ve only experienced the film, you’re in for a surprise. Once they were soldiers. Rambo, the ragged kid whose presence in town is considered a threat. And Teasle, the Chief of Police of Madison, Kentucky. Both have been trained to kill: Rambo in Vietnam, Teasle in Korea. They learned different military tactics, different ways of death and survival in two different wars. Now, without warning, they are enemies in a civilian combat that becomes a chase through the woods and mountains and caves above the town. As we follow them, we understand that once a man has been trained as a killer, perhaps he is changed forever. Award-winning FIRST BLOOD was published in 1972, was translated into 26 languages, and has never been out of print. It was one of the first novels to deal with post-traumatic stress disorder. David’s novelizations for RAMBO (FIRST BLOOD PART II) and RAMBO III are available as e-books. They’re quite different from the films and include revealing introductions. See also David’s RAMBO AND ME: THE STORY BEHIND THE STORY. Critical reactions: “A fine novel. . . . When Johnny comes marching home this time, watch out.” —The New York Times Sunday Book Review “A first-rate thriller.” —Newsweek “One of the finest chase novels you will ever read.” —Minneapolis Tribune “A terrific thriller.” —Saturday Review “One hell of a hard, fast novel.” —John D. MacDonald",5,David Morrell ,115,1937760022,horror,/copertina libri/FirstBlood.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Charlaine Harris,Dead and Gone,"The ninth installment in the series that inspired the HBO original True Blood offers another exciting undead adventure, which opens with a vampire fashion show, showing just one of the fruits of the author's unique writing style. Original.",5,Penguin,312,4410171506,horror,/copertina libri/DeadAndGone.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Charlaine Harris,Day Shift,"DON'T MISS MIDNIGHT, TEXAS, THE NBC TV SERIES BASED ON CHARLAINE HARRIS'S BESTSELLING NOVELS! The #1 New York Times bestselling author of the Sookie Stackhouse novels returns to the one-stoplight town of Midnight, Texas, a place where no one is quite what they seem... There is no such thing as bad publicity, except in Midnight, where the residents like to keep to themselves. When psychic Manfred Bernardo finds himself embroiled in a scandal and hounded by the press after one of his regular clients dies during a reading, he turns to enigmatic, beautiful, and dangerous Olivia Charity for help. Somehow he knows that the mysterious Olivia can get things back to normal. As normal as things get in Midnight... Includes an excerpt of Night Shift",5,Ace Books,386,4252632078,horror,/copertina libri/DayShift.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Poppy Brite,Lost Souls,"Vampires . . . they ache, they love, they thirst for the forbidden. They are your friends and lovers, and your worst fears. “A major new voice in horror fiction . . . an electric style and no shortage of nerve.”—Booklist At a club in Missing Mile, N.C., the children of the night gather, dressed in black, look for acceptance. Among them are Ghost, who sees what others do not; Ann, longing for love; and Jason, whose real name is Nothing, newly awakened to an ancient, deathless truth about his father, and himself. Others are coming to Missing Mile tonight. Three beautiful, hip vagabonds—Molochai, Twig, and the seductive Zillah, whose eyes are as green as limes—are on their own lost journey, slaking their ancient thirst for blood, looking for supple young flesh. They find it in Nothing and Ann, leading them on a mad, illicit road trip south to New Orleans. Over miles of dark highway, Ghost pursues, his powers guiding him on a journey to reach his destiny, to save Ann from her new companions, to save Nothing from himself. . . . “An important and original work . . . a gritty, highly literate blend of brutality and sentiment, hope and despair.”—Science Fiction Chronicle",5,Dell,384,307768287,horror,/copertina libri/LostSouls.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Paul Tremblay,The Cabin at the End of the World,"NATIONAL BESTSELLER! BEST BOOK OF 2018 (Library Journal, NPR, Buzzfeed) LOCUS RECOMMENDED READING LIST - 2018 JULY 2018 INDIE NEXT PICK! SUMMER 2018 PUBLISHERS WEEKLY PICK! “A tremendous book―thought-provoking and terrifying, with tension that winds up like a chain. The Cabin at the End of the World is Tremblay’s personal best. It’s that good.” — Stephen King “A clinic in suspense, a story that opens with high-wire tension and never lets up from there.” — Michael Koryta ""I tore through it in record time. I just couldn’t wait to see where Tremblay was going to take me next.” — Victor LaValle The Bram Stoker Award-winning author of A Head Full of Ghosts adds an inventive twist to the home invasion horror story in a heart-palpitating novel of psychological suspense that recalls Stephen King’s Misery, Ruth Ware’s In a Dark, Dark Wood, and Jack Ketchum’s cult hit The Girl Next Door. Seven-year-old Wen and her parents, Eric and Andrew, are vacationing at a remote cabin on a quiet New Hampshire lake. Their closest neighbors are more than two miles in either direction along a rutted dirt road. One afternoon, as Wen catches grasshoppers in the front yard, a stranger unexpectedly appears in the driveway. Leonard is the largest man Wen has ever seen but he is young, friendly, and he wins her over almost instantly. Leonard and Wen talk and play until Leonard abruptly apologizes and tells Wen, ""None of what’s going to happen is your fault"". Three more strangers then arrive at the cabin carrying unidentifiable, menacing objects. As Wen sprints inside to warn her parents, Leonard calls out: ""Your dads won’t want to let us in, Wen. But they have to. We need your help to save the world."" Thus begins an unbearably tense, gripping tale of paranoia, sacrifice, apocalypse, and survival that escalates to a shattering conclusion, one in which the fate of a loving family and quite possibly all of humanity are entwined. The Cabin at the End of the World is a masterpiece of terror and suspense from the fantastically fertile imagination of Paul Tremblay. “Read Paul Tremblay's new novel, The Cabin at the End of the World, and you might not sleep for a week. Longer. It will shape your nightmares for months – that's pretty much guaranteed.” — NPR “Gripping, horrifying, and mesmerizing.” — GQ “A tour-de-force of psychological and religious horror.” — BN.com “A blinding tale of survival and sacrifice.” — Kirkus Reviews “Tremblay has a real winner here.” — Tor.com",5,HarperCollins,288,62679120,horror,/copertina libri/TheCabinAtTheEndOfTheWorld.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Mary SanGiovanni,Chills (versione italiana),"True Detective incontra H.P. Lovecraft in questo romanzo dell’acclamata autrice Mary Sangiovanni. Tutto comincia con una brutale nevicata a maggio. L’area più colpita è la cittadina rurale di Colby, nel Connecticut. Le scuole e le attività sono chiuse, la rete elettrica è fuori uso, e il detective Jack Glazier trova un cadavere nella neve. Sembra essere la vittima di un bizzarro omicidio rituale. Non sarà l’ultima. Mentre la neve si accumula, così si accumulano i sacrifici. Tagliato fuori dal resto del mondo, Glazier si allea con una specialista dell’occulto per scovare la società segreta che si nasconde tra loro. Gli dei che adorano sono inimmaginabili. I poteri che evocano sono inarrestabili. E le cose che faranno alla brava gente di Colby sono profondamente, orribilmente innominabili… Dicono di Chills: «L’atmosfera è perfetta, i mostri debitamente grotteschi e la minaccia sovrannaturale legittimamente spaventosa.» (BEAUTY IN RUINS) «Mary Sangiovanni di certo sa come scrivere di mostri.» (POSTCARDS FROM A DYING WORLD) «In Chills, Mary Sangiovanni fa un lavoro eccezionale nel riuscire a catturare la minaccia, il pericolo e persino l’orrore del freddo estremo.» (SKULLS IN THE STARS) L’AUTRICE: Mary Sangiovanni è l’autrice della trilogia The Hollower (il cui primo volume è stato nominato per il Bram Stoker Award), e dei romanzi Thrall, Chaos, Chills e l’imminente Savage Woods. Nell’ultimo decennio i suoi racconti sono apparsi in periodici e antologie. Ha un master in Writing Popular Fiction della Seton Hill University di Pittsburgh ed è al momento membro della Authors Guild, della International Thriller Writers e della Penn Writers ed è stata in precedenza membro attivo della Horror Writers Association.",5,Dunwich Edizioni,236,8899635692,horror,/copertina libri/Chills.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Paul Wells,The Horror Genre,"A comprehensive introduction to the history and key themes of the genre. The main issues and debates raised by horror, and the approaches and theories that have been applied to horror texts are all featured. In addressing the evolution of the horror film in social and historical context, Paul Wells explores how it has reflected and commented upon particular historical periods, and asks how it may respond to the new millennium by citing recent innovations in the genre's development, such as the ""urban myth"" narrative underpinning Candyman and The Blair Witch Project. Over 300 films are treated, all of which are featured in the filmography.",5,Wallflower Press,130,1903364000,horror,/copertina libri/TheHorrorGenre.jpg,30,È possibile estendere il prestito per altri 30 giorni.
"Mark Twain,Robert Blaisdell,John Green",Tom Sawyer,The adventures of a mischievous young boy and his friends growing up in a Mississippi River town in the nineteenth century.,5,Courier Corporation,92,4862915616,avventura,/copertina libri/TomSawyer.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Herman Melville,The Moby-Dick - Or Whale,"Many of the earliest books, particularly those dating back to the 1900s and before, are now extremely scarce and increasingly expensive. We are republishing these classic works in affordable, high quality, modern editions, using the original text and artwork.",5,Read Books Ltd,883,1473374588,avventura,/copertina libri/MobyDick.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Joseph Conrad,Cuore di tenebra,"L'incontro con la tremenda realtà dello schiavismo nell'Africa centrale, la rivelazione dei guasti della solitudine, un confronto inquietante col diverso e col primitivo. Il capolavoro del grande narratore inglese d'origine polacca Joseph Conrad (1857-192",5,Edizioni Mondadori,336,8852010866,avventura,/copertina libri/CuoreDiTenebra.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Jules Verne,Ventimila leghe sotto i mari,"Un oggetto misterioso, più grande e più rapido di una balena, solca gli oceani a fine Ottocento. Tutti si interrogano su questa apparizione incredibile. Se ne parla dovunque: nei caffè, nei teatri e sulle pagine dei giornali. Poi l’oggetto misterioso comincia ad affondare alcune navi, e la paura si sovrappone alla curiosità. Di cosa si tratta? Lo scoprirà un gruppo di naufraghi, e sarà una scoperta straordinaria. Non è un pesce mostruoso, né un gigantesco cetaceo a spargere il terrore nei mari. È un sommergibile, il Nautilus, guidato dall’indimenticabile figura del capitano Nemo, un uomo solitario in lotta con il mondo. Ma saliti a bordo del Nautilus le avventure sono appena cominciate: in compagnia del capitano Nemo si attraverseranno le profondità degli oceani, si visiteranno città sommerse, si combatterà contro polpi giganteschi. Un susseguirsi di vicende appassionanti che hanno fatto di questo romanzo uno dei capolavori immortali nati dalla fantasia di Verne.Jules Verne(Nantes 1828-Amiens 1905) fu autore di circa sessanta romanzi di viaggi e avventura, spesso ispirati ai processi tecnologici. Tra i più noti: Cinque settimane in pallone (1863), Viaggio al centro della Terra (1864), Dalla Terra alla Luna (1865), I figli del capitano Grant (1867), Il giro del mondo in 80 giorni (1873), L’isola misteriosa (1874) e Michele Strogoff (1876). Di Jules Verne la Newton Compton ha pubblicato Viaggio al centro della Terra, Il giro del mondo in 80 giorni e Ventimila leghe sotto i mari.",5,Newton Compton Editori,419,8854130508,avventura,/copertina libri/VentimilaLegheSottoIMari.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Daniel Defoe,Robinson Crusoe,"Robinson Crusoe is one of the most famous literary characters in history, and his story has spawned hundreds of retellings. Inspired by the life of Alexander Selkirk, a sailor who lived for several years on a Pacific island, the novel tells the story of Crusoe’s survival after shipwreck on an island, interaction with the mainland’s native inhabitants, and eventual rescue. Read variously as economic fable, religious allegory, or imperialist fantasy, Crusoe has never lost its appeal as one of the most compelling adventure stories of all time. In addition to an introduction and helpful notes, this Broadview Edition includes a wide range of appendices that situate Defoe’s 1719 novel amidst castaway narratives, economic treatises, reports of cannibalism, explorations of solitude, and Defoe’s own writings on slavery and the African trade. A final appendix presents images of Crusoe’s rescue of Friday from a dozen of the most significant illustrated editions of the novel published between 1719 and 1920.",5,Broadview Press,422,1770482245,avventura,/copertina libri/RobinsonCrusoe.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Jon Krakauer,Nelle terre estreme,"IL LIBRO CULT DA CUI È STATO TRATTO INTO THE WILD. Nell’aprile del 1992 Chris McCandless si incamminò da solo negli immensi spazi selvaggi dell’Alaska. Due anni prima, terminati gli studi, aveva abbandonato tutti i suoi averi e donato i suoi risparmi in beneficenza: voleva lasciare la civiltà per immergersi nella natura. Non adeguatamente equipaggiato, senza alcuna preparazione alle condizioni estreme che avrebbe incontrato, venne ritrovato morto da un cacciatore, quattro mesi dopo la sua partenza per le terre a nord del Monte McKinley. Accanto al cadavere fu rinvenuto un diario che Chris aveva inaugurato al suo arrivo in Alaska e che ha permesso di ricostruire le sue ultime settimane. Jon Krakauer si imbatté quasi per caso in questa vicenda, rimanendone quasi ossessionato, e scrisse un lungo articolo sulla rivista «Outside» che suscitò enorme interesse. In seguito, con l’aiuto della famiglia di Chris, si è dedicato alla ricostruzione del lungo viaggio del ragazzo: due anni attraverso l’America all’inseguimento di un sogno. Questo libro, in cui Krakauer cerca di capire cosa può aver spinto Chris a ricercare uno stato di purezza assoluta a contatto con una natura incontaminata, è il risultato di tre anni di ricerche. Ma «Nelle terre estreme», però, non è solo la ricostruzione degli eventi che portarono Chris McCandless alla morte, è anche una metafora sul rapporto tra la nostra civiltà e la natura che la circonda, è un formidabile tentativo di penetrare le segrete vibrazioni che percorrono tutte le giovinezze, è un viaggio del corpo e dell’anima scritto da un maestro del racconto d’avventura che qui si mette in gioco lasciandosi coinvolgere – assieme al lettore – dalle figure eroiche di cui narra.",5,Corbaccio,274,8863800936,avventura,/copertina libri/NelleTerreEstreme.jpg,30,È possibile estendere il prestito per altri 30 giorni.
